Player,Team,Salary
Chris Boucher,GS,3000
Damian Jones,GS,3000
Kevon Looney,GS,3000
Khem Birch,ORL,3000
Wes Iwundu,ORL,3000
Adreian Payne,ORL,3000
Jamel Artis,ORL,3000
Matt Costello,SA,3000
Derrick White,SA,3000
Joffrey Lauvergne,SA,3000
Davis Bertans,SA,3000
Darrun Hilliard,SA,3000
Wayne Selden Jr.,MEM,3000
Kobi Simmons,MEM,3000
Vince Hunter,MEM,3000
Ivan Rabb,MEM,3000
Justin Patton,MIN,3000
Aaron Brooks,MIN,3000
Marcus Georges-Hunt,MIN,3000
Anthony Brown,MIN,3000
Cole Aldrich,MIN,3000
Nick Collison,OKC,3000
Kyle Singler,OKC,3000
Terrance Ferguson,OKC,3000
PJ Dozier,OKC,3000
Daniel Hamilton,OKC,3000
Josh Huestis,OKC,3000
Jon Leuer,DET,3000
Langston Galloway,DET,3000
Eric Moreland,DET,3000
Dwight Buycks,DET,3000
Reggie Bullock,DET,3000
Luis Montero,DET,3000
Boban Marjanovic,DET,3000
Henry Ellenson,DET,3000
Devin Robinson,WAS,3000
Chris McCullough,WAS,3000
Sheldon Mac,WAS,3000
Mike Young,WAS,3000
Jordan Mickey,MIA,3000
Udonis Haslem,MIA,3000
A.J. Hammons,MIA,3000
Rodney McGruder,MIA,3000
Okaro White,MIA,3000
Matt Williams,MIA,3000
Derrick Walton Jr.,MIA,3000
Marcus Paige,CHA,3000
Mangok Mathiang,CHA,3000
Johnny O'Bryant III,CHA,3000
Julyan Stone,CHA,3000
Treveon Graham,CHA,3000
Edmond Sumner,IND,3000
Damien Wilkins,IND,3000
TJ Leaf,IND,3000
Alex Poythress,IND,3000
Ike Anigbogu,IND,3000
Joe Young,IND,3000
Lorenzo Brown,TOR,3000
Bruno Caboclo,TOR,3000
Alfonzo McKinnie,TOR,3000
Malcolm Miller,TOR,3000
