Name,teamAbbrev,Salary
Mark Giordano,CGY,5500
T.J. Oshie,WAS,5500
Pierre-Luc Dubois,CLS,5400
Jeff Skinner,CAR,5400
Dustin Byfuglien,WPG,5300
Brandon Saad,CHI,5300
Nick Schmaltz,CHI,5300
Cam Atkinson,CLS,5200
Sebastian Aho,CAR,5200
Jacob Trouba,WPG,5200
Teuvo Teravainen,CAR,5100
Oscar Klefbom,EDM,5100
Ryan Nugent-Hopkins,EDM,5100
Alexander Edler,VAN,5000
Bo Horvat,VAN,5000
Matthew Tkachuk,CGY,5000
Dougie Hamilton,CGY,4900
Mathieu Perreault,WPG,4900
Nick Foligno,CLS,4800
Duncan Keith,CHI,4800
Bryan Little,WPG,4800
Mikael Backlund,CGY,4700
Oliver Ekman-Larsson,ARI,4700
Milan Lucic,EDM,4700
Jordan Oesterle,CHI,4600
Jesse Puljujarvi,EDM,4600
Derek Stepan,ARI,4600
Oliver Bjorkstrand,CLS,4500
Boone Jenner,CLS,4500
Micheal Ferland,CGY,4500
Tyler Myers,WPG,4500
Patrick Maroon,EDM,4500
Alexander Wennberg,CLS,4400
Aaron Ekblad,FLA,4400
Evgenii Dadonov,FLA,4400
Keith Yandle,FLA,4300
Vinnie Hinostroza,CHI,4300
Kris Russell,EDM,4300
Thomas Vanek,VAN,4200
Justin Faulk,CAR,4200
Jordan Staal,CAR,4200
Alex DeBrincat,CHI,4200
Sam Gagner,VAN,4100
Michael Frolik,CGY,4100
Jakob Chychrun,ARI,4100
Daniel Sedin,VAN,4000
Brandon Dubinsky,CLS,4000
Matt Niskanen,WAS,4000
Marian Hossa,CHI,4000
Ryan Hartman,CHI,4000
Max Domi,ARI,4000
Nick Bjugstad,FLA,3900
Dmitry Orlov,WAS,3900
Lars Eller,WAS,3800
Josh Morrissey,WPG,3800
Anthony Duclair,CHI,3800
Henrik Sedin,VAN,3700
Elias Lindholm,CAR,3700
Darnell Nurse,EDM,3700
Noah Hanifin,CAR,3600
Justin Williams,CAR,3600
Devante Smith-Pelly,WAS,3600
Adam Lowry,WPG,3600
Andrej Sekera,EDM,3500
Richard Panik,ARI,3500
Sven Baertschi,VAN,3400
T.J. Brodie,CGY,3400
Tom Wilson,WAS,3400
Jakub Vrana,WAS,3400
Derek Ryan,CAR,3400
Christian Fischer,ARI,3400
Mike Matheson,FLA,3300
Mark Jankowski,CGY,3300
Jaccob Slavin,CAR,3300
Victor Rask,CAR,3300
Brent Seabrook,CHI,3300
Joel Armia,WPG,3300
Patrick Sharp,CHI,3300
Alex Goligoski,ARI,3300
Brendan Perlini,ARI,3300
David Savard,CLS,3200
Loui Eriksson,VAN,3200
Markus Granlund,VAN,3200
Sonny Milano,CLS,3200
Matt Calvert,CLS,3200
Lukas Sedlak,CLS,3200
Troy Brouwer,CGY,3200
Radim Vrbata,FLA,3200
Colton Sceviour,FLA,3200
Sam Bennett,CGY,3200
Andre Burakovsky,WAS,3200
Brett Connolly,WAS,3200
Gustav Forsling,CHI,3200
Tobias Rieder,ARI,3200
Jujhar Khaira,EDM,3200
Ryan Strome,EDM,3200
Christian Dvorak,ARI,3200
Mark Letestu,EDM,3200
Michael Del Zotto,VAN,3100
Kris Versteeg,CGY,3100
Denis Malgin,FLA,3100
Jared McCann,FLA,3100
Jan Rutta,CHI,3100
Andrew Copp,WPG,3100
Jordan Martinook,ARI,3100
Drake Caggiula,EDM,3100
Troy Stecher,VAN,3000
Derrick Pouliot,VAN,3000
Markus Nutivaara,CLS,3000
Jake Virtanen,VAN,3000
Tyler Motte,CLS,3000
Brandon Sutter,VAN,3000
Jaromir Jagr,CGY,3000
Garnet Hathaway,CGY,3000
Curtis Lazar,CGY,3000
Roland McKeown,CAR,3000
Brooks Orpik,WAS,3000
Josh Jooris,CAR,3000
Lee Stempniak,CAR,3000
Brock McGinn,CAR,3000
Chandler Stephenson,WAS,3000
Anthony Peluso,WAS,3000
Jay Beagle,WAS,3000
Cody Franson,CHI,3000
John Hayden,CHI,3000
Brandon Tanev,WPG,3000
Marko Dano,WPG,3000
Jack Roslovic,WPG,3000
Tanner Kero,CHI,3000
Tommy Wingels,CHI,3000
Adam Larsson,EDM,3000
Jason Demers,ARI,3000
Matt Benning,EDM,3000
Michael Cammalleri,EDM,3000
Josh Archibald,ARI,3000
Alex Biega,VAN,2900
Jack Johnson,CLS,2900
Ben Hutton,VAN,2900
Nikolay Goldobin,VAN,2900
Markus Hannikainen,CLS,2900
Mark Pysyk,FLA,2900
Travis Hamonic,CGY,2900
Owen Tippett,FLA,2900
Connor Brickley,FLA,2900
Jamie McGinn,FLA,2900
Hunter Shinkaruk,CGY,2900
Trevor van Riemsdyk,CAR,2900
Brett Pesce,CAR,2900
Christian Djoos,WAS,2900
Alex Chiasson,WAS,2900
Patrick Brown,CAR,2900
Michal Kempny,CHI,2900
Lance Bouma,CHI,2900
Andreas Martinsen,CHI,2900
Matt Hendricks,WPG,2900
Niklas Hjalmarsson,ARI,2900
Nick Cousins,ARI,2900
Christopher Tanev,VAN,2800
Ryan Murray,CLS,2800
Derek Dorsett,VAN,2800
Brendan Gaunce,VAN,2800
Nic Dowd,VAN,2800
Jordan Schroeder,CLS,2800
Zac Dalpe,CLS,2800
Michael Stone,CGY,2800
Spencer Foo,CGY,2800
Henrik Haapala,FLA,2800
Matt Stajan,CGY,2800
Derek MacKenzie,FLA,2800
Haydn Fleury,CAR,2800
Madison Bowey,WAS,2800
Taylor Chorney,WAS,2800
Travis Boyd,WAS,2800
Joakim Nordstrom,CAR,2800
Phillip Di Giuseppe,CAR,2800
Marcus Kruger,CAR,2800
Ville Pokka,CHI,2800
Connor Murphy,CHI,2800
Michal Rozsival,CHI,2800
Ben Chiarot,WPG,2800
Dmitry Kulikov,WPG,2800
Jordin Tootoo,CHI,2800
Brendan Lemieux,WPG,2800
Shawn Matthias,WPG,2800
David Kampf,CHI,2800
Luke Schenn,ARI,2800
Zack Kassian,EDM,2800
Zac Rinaldo,ARI,2800
Nicholas Merkley,ARI,2800
Chris Kelly,EDM,2800
Lawson Crouse,ARI,2800
Mario Kempe,ARI,2800
Tye McGinn,ARI,2800
Yohann Auvitu,EDM,2800
Laurent Dauphin,ARI,2800
Brad Richardson,ARI,2800
Tyler Gaudet,ARI,2800
Dylan Strome,ARI,2800
Patrick Wiercioch,VAN,2700
Erik Gudbranson,VAN,2700
Ashton Sautner,VAN,2700
Gabriel Carlsson,CLS,2700
Scott Harrington,CLS,2700
Dean Kukan,CLS,2700
Reid Boucher,VAN,2700
Jayson Megna,VAN,2700
Michael Chaput,VAN,2700
Brett Kulak,CGY,2700
Alexander Petrovic,FLA,2700
MacKenzie Weegar,FLA,2700
Ian McCoshen,FLA,2700
Daniel Pribyl,CGY,2700
Andrew Mangiapane,CGY,2700
Marek Hrivik,CGY,2700
Maxim Mamin,FLA,2700
Dryden Hunt,FLA,2700
Micheal Haley,FLA,2700
Chase Balisy,FLA,2700
Curtis Valk,FLA,2700
Klas Dahlbeck,CAR,2700
Trevor Carrick,CAR,2700
Nathan Walker,WAS,2700
Tyler Graovac,WAS,2700
Liam O'Brien,WAS,2700
Lucas Wallmark,CAR,2700
Andrew Poturalski,CAR,2700
Aleksi Saarela,CAR,2700
Erik Gustafsson,CHI,2700
Toby Enstrom,WPG,2700
Tucker Poolman,WPG,2700
Tomas Jurco,CHI,2700
Brandon Davidson,EDM,2700
Ryan Stanton,EDM,2700
Andrew Campbell,ARI,2700
Kevin Connauton,ARI,2700
Joel Hanley,ARI,2700
Ty Rattie,EDM,2700
Emerson Etem,ARI,2700
Freddie Hamilton,ARI,2700
Anton Slepyshev,EDM,2700
Iiro Pakarinen,EDM,2700
Brad Malone,EDM,2700
Joseph Gambardella,EDM,2700
Cameron Gaunce,CLS,2600
Anton Rodin,VAN,2600
Matt Bartkowski,CGY,2600
Rasmus Andersson,CGY,2600
Juuso Valimaki,CGY,2600
Michael Downing,FLA,2600
Joseph Cramarossa,CGY,2600
Jake Bean,CAR,2600
Tyler Lewington,WAS,2600
Julien Gauthier,CAR,2600
Valentin Zykov,CAR,2600
Sergey Tolchinsky,CAR,2600
Nicolas Roy,CAR,2600
Mark Simpson,WAS,2600
Kyle Capobianco,ARI,2600
Grayson Downing,EDM,2600
Evan McEneny,VAN,2500
Philip Holm,VAN,2500
Doyle Somerby,CLS,2500
Darren Archibald,VAN,2500
Kole Sherwood,CLS,2500
Vitaly Abramov,CLS,2500
Zack MacEwen,VAN,2500
Joseph Labate,VAN,2500
Jonathan Dahlen,VAN,2500
Tyler Wotherspoon,CGY,2500
Oliver Kylington,CGY,2500
Dalton Prout,CGY,2500
Ed Wittchow,FLA,2500
Linus Hultstrom,FLA,2500
Alexandre Grenier,FLA,2500
Juho Lammikko,FLA,2500
Morgan Klimchuk,CGY,2500
Luke Gazdic,CGY,2500
Jayce Hawryluk,FLA,2500
Riley Barber,WAS,2500
Hampus Gustafsson,WAS,2500
Luc Snuggerud,CHI,2500
Julian Melchiori,WPG,2500
Jan Kostalek,WPG,2500
Nelson Nogier,WPG,2500
Matt Iacopelli,CHI,2500
Buddy Robinson,WPG,2500
J.C. Lipon,WPG,2500
Nathan Noel,CHI,2500
Anthony Louis,CHI,2500
Chase De Leo,WPG,2500
Andrew Ference,EDM,2500
Joey LaLeggia,EDM,2500
Mark Fayne,EDM,2500
Dmitri Samorukov,EDM,2500
Dillon Simpson,EDM,2500
Patrick Russell,EDM,2500
Brian Ferlin,EDM,2500
Mitch Callahan,EDM,2500
Mike Sislo,ARI,2500
Tyler Benson,EDM,2500
Craig Cunningham,ARI,2500
Dave Bolland,ARI,2500
